transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,Age_Group,detail_cust_title,rank
3356,0,2459,2017-07-26,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
5205,95,2459,2017-07-06,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,139.2299999999999,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
9783,30,2459,2017-07-24,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
9952,99,2459,2017-08-29,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
10292,14,2459,2017-10-10,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000002,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
14324,0,2459,2017-11-07,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,133.38,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
17439,0,2459,2017-04-10,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999995,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
18393,5,2459,2017-05-22,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,451.65000000000015,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
18873,96,2459,2017-05-20,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,641.64,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,690.49,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,51,142,5,2825.0000000000005,1,2,2,122,Bronze,60,Evasive Customer,10
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,502.47,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,51,142,5,2825.0000000000005,1,2,2,122,Bronze,60,Evasive Customer,10
1803,21,1305,2017-04-22,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693.0,1103.43,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,51,142,5,2825.0000000000005,1,2,2,122,Bronze,60,Evasive Customer,10
5048,0,1305,2017-02-13,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,39298.0,91.15,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,51,142,5,2825.0000000000005,1,2,2,122,Bronze,60,Evasive Customer,10
9526,90,1305,2017-04-07,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,40618.0,437.46,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,51,142,5,2825.0000000000005,1,2,2,122,Bronze,60,Evasive Customer,10
10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000004,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,152.54999999999995,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
2288,84,3262,2017-03-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
6484,53,3262,2017-12-16,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,693.76,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
6607,8,3262,2017-03-15,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,187.38999999999987,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
7021,98,3262,2017-10-11,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
8352,99,3262,2017-12-29,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
8910,4,3262,2017-10-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,451.65000000000015,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
10675,19,3262,2017-03-28,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,39880.0,4.8,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61,1,10,4290.81,4,4,4,444,Platinum,70,Platinum Customer,1
11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,114.93,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
6316,79,1986,2017-08-31,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,737.5699999999998,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
14044,18,1986,2017-06-29,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,143.82,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
14374,50,1986,2017-11-16,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,43.97,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
18599,6,1986,2017-07-02,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,91.15,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
18624,89,1986,2017-01-15,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,1305.25,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,39,44,6,2436.6899999999996,3,2,2,322,Gold,40,Late Bloomer,6
12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999995,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
843,21,2783,2017-02-11,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,42404.0,690.49,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
2623,56,2783,2017-06-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,40779.0,45.96000000000001,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
5392,86,2783,2017-07-06,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,110.56,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
9505,95,2783,2017-10-18,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,33364.0,41.13,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
9828,42,2783,2017-04-03,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,37668.0,199.09999999999994,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
13573,80,2783,2017-10-02,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,41533.0,139.2299999999999,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
13985,67,2783,2017-09-16,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42710.0,167.20999999999995,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
15508,51,2783,2017-01-14,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,39915.0,802.26,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
16819,99,2783,2017-10-18,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
18818,6,2783,2017-03-16,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,91.15,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,42,73,11,2757.77,2,4,2,242,Silver,50,Loosing Customer,7
13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,903.11,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,67,70,10,5127.43,2,4,4,244,Silver,70,Loosing Customer,7
5047,40,1243,2017-10-21,1.0,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,583.2700000000002,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,67,70,10,5127.43,2,4,4,244,Silver,70,Loosing Customer,7
